LAT,LON,ALT,NAM,IKO,NA3,USE,USEdesc
36.431946,10.015556,149,Saminjah,DT,TS97376,999,Other
36.285278,6.619167,701,Mohamed Boudiaf Intl,DABC,AG68480,49,Civilian/Public
36.211945,1.331111,141,Ech Cheliff,DAOI,AG42199,999,Other
36.179443,5.325,1024,Setif Ain Arnat,DAAS,AG89748,999,Other
36.107777,6.365,757,Telerghma,DAAM,AG67513,999,Other
35.908611,0.149167,223,Mostaganem,DA,AG58525,999,Other
35.857498,14.4775,91,Luqa,LMML,MT89297,49,Civilian/Public
35.758057,10.754722,2,Habib Bourguiba Intl,DTMB,TS30829,49,Civilian/Public
35.751946,0.626389,85,Relizane,DAAZ,AG51688,999,Other
35.525414,2.878714,649,Ain Oussera,DAAQ,AG75759,8,Military
35.49778,12.618056,21,Lampedusa,LICD,IT66175,49,Civilian/Public
35.430279,8.121389,811,Tebessa,DABS,AG74167,49,Civilian/Public
35.340084,1.464583,989,Bou Chekif,DAOB,AG42693,49,Civilian/Public
35.33139,4.204444,459,Bou Saada,DAAD,AG86488,999,Other
35.207722,0.147139,513,Ghriss,DAOV,AG70333,999,Other
34.896942,0.152222,744,Saida,DA,AG94193,999,Other
34.793278,5.738222,88,Biskra,DAUB,AG56340,49,Civilian/Public
34.720554,10.688611,25,Thyna,DTTX,TS97357,49,Civilian/Public
34.422028,8.8225,323,Gafsa,DTTF,TS42250,22,Joint Military/Civilian
33.93972,8.110556,87,Nefta,DTTZ,TS75522,49,Civilian/Public
33.875557,10.777222,5,Zarzis,DTTJ,TS82184,49,Civilian/Public
33.873054,10.101944,7,Gabes,DTTG,TS15878,999,Other
33.766109,2.927222,765,Laghouat,DAUL,AG30555,8,Military
33.511665,6.781667,63,Guemar,DAUO,AG76755,999,Other
33.350834,10.442222,130,Madaniyin,DT,TS49306,999,Other
33.06889,6.088889,85,Touggourt Sidi Mahdi,DAUK,AG72115,999,Other
32.951168,12.016917,4,Zwara,HL,LY77635,999,Other
32.929947,3.312353,774,Hassi R Mel,DAFH,AG32594,999,Other
32.898609,0.524722,903,El Abiodh Sidi Cheikh,DA,AG29602,999,Other
32.894085,13.276,10,Mitiga,HLLM,LY01864,49,Civilian/Public
32.663555,13.159,80,Tripoli Intl,HLLT,LY80945,22,Joint Military/Civilian
32.494999,13.288889,149,Sidi Salih,HL,LY18986,999,Other
32.473415,11.897917,77,Okba Ibn Nafa,HL,LY84290,8,Military
32.381748,3.797083,460,Noumerate,DAUG,AG85161,49,Civilian/Public
32.304443,10.382222,306,Remada,DTTD,TS03759,999,Other
31.917221,5.412778,149,Ouargla,DAUU,AG30577,22,Joint Military/Civilian
31.739222,13.954,300,Beni Walid,HL,LY19694,999,Other
31.716667,9.266667,252,El Borma,DTTR,TS69567,999,Other
31.705557,14.911056,56,Nanur,HL,LY96424,999,Other
31.672972,6.140444,141,Oued Irara,DAUH,AG76660,49,Civilian/Public
30.696943,12.486667,609,Habit Awlad Muhammad,HL,LY84956,999,Other
30.576944,2.863056,398,El Golea,DAUE,AG99976,999,Other
30.151693,9.715306,341,Ghadames East,HLTD,LY03830,49,Civilian/Public
44.941444,17.297501,121,Banja Luka,LQBK,BK27902,999,Other
44.935501,20.257195,80,Batajnica,LYBT,SR31379,8,Military
44.818443,20.309139,102,Beograd,LYBE,SR37018,49,Civilian/Public
44.775112,20.961639,85,Kovin,LY,SR12697,999,Other
44.573891,26.103333,95,Otopeni,LROP,RO65674,22,Joint Military/Civilian
44.55761,15.77436,750,Udbina,LDZU,HR69723,999,Other
44.503193,26.102112,90,Baneasa,LRBS,RO38957,49,Civilian/Public
44.458637,18.724814,238,Tuzla,LQTZ,BK62790,8,Military
44.392307,27.726694,54,Fetesti,LR,RO00007,999,Other
44.362087,28.488449,107,Mihail Kogalniceanu,LRCK,RO86194,49,Civilian/Public
44.318138,23.888611,190,Craiova,LRCV,RO70894,22,Joint Military/Civilian
44.209167,15.162778,18,Sepurine Training Base,LD,HR83905,999,Other
44.096584,15.362472,88,Zadar,LDZD,HR20876,49,Civilian/Public
44.077274,24.416407,88,Deveselu,LR,RO00023,999,Other
44.055168,27.178833,106,Silistra Polkovnik Lambrinovo,LB,BU00002,8,Military
44.022362,22.816111,60,Vidin Smurdan,LB,BU85953,999,Other
44.018234,22.137137,385,Bor,LY,SR56955,999,Other
43.898918,19.697945,833,Ponikve,LY,SR31631,8,Military
43.824612,18.331499,520,Sarajevo,LQSA,BK56123,49,Civilian/Public
43.726582,27.686001,0,Leskovo,LB,BU00137,999,Other
43.693974,26.579918,299,Ostrovo Northwest,LB,BU00013,49,Civilian/Public
43.627888,27.694111,0,Golyama Smolnitsa,LB,BU00144,999,Other
43.609638,27.836472,251,Dobrich,LB,BU85957,999,Other
43.548332,24.590279,45,Podem,LB,BU00075,999,Other
43.544308,23.272528,190,Gabrovnitsa,LB,BU00011,8,Military
43.539001,16.298082,24,Split,LDSP,HR72711,49,Civilian/Public
43.506943,27.844889,0,Stefanovo,LB,BU00139,999,Other
43.475555,28.102778,0,Sokolovo,LB,BU00165,999,Other
43.451721,24.503055,100,Dolna Mitropoliya,LB,BU85954,999,Other
43.405277,25.473888,106,Maslarevo,LB,BU00077,999,Other
43.369446,25.149166,45,Levski,LB,BU00090,999,Other
43.337288,21.853722,197,Nis,LYNI,SR35955,22,Joint Military/Civilian
43.327332,25.003445,128,Kamenets,LB,BU85956,999,Other
43.306557,26.700861,202,Turgovishte Bukhovtsi,LB,BU00012,49,Civilian/Public
43.282902,17.845879,53,Mostar,LQMO,BK62812,8,Military
43.28212,16.680885,541,Brac,LDSB,HR10160,999,Other
43.274502,20.050362,1001,Sjenica,LY,SR85042,999,Other
43.232471,27.824444,70,Varna,LBWN,BU63283,49,Civilian/Public
43.151443,25.712889,86,Gorna Oryahovitsa,LBGO,BU85955,999,Other
42.812443,23.299639,529,Kumaritsa,LB,BU00021,8,Military
42.695194,23.406166,530,Sofia,LBSF,BU02353,49,Civilian/Public
42.646278,26.359362,199,Sliven,LB,BU00014,8,Military
42.599724,26.629723,157,Zimnitsa,LB,BU00016,8,Military
42.574112,21.035744,544,Pristina,LYPR,SR62030,22,Joint Military/Civilian
42.569027,27.513945,41,Burgas,LBBG,BU85949,49,Civilian/Public
42.562862,18.26461,160,Dubrovnik,LDDU,HR11974,49,Civilian/Public
42.526722,27.272751,22,Ravnets,LB,BU85959,999,Other
42.454945,26.352222,155,Bezmer,LB,BU85958,8,Military
42.444248,22.983499,190,Radomir Dolni Rakovets Afld,LB,BU00006,8,Military
42.404667,18.723307,6,Tivat,LYTV,MW25268,49,Civilian/Public
42.376667,25.655193,91,Stara Zagora,LBSZ,BU85951,999,Other
42.35939,19.251888,36,Podgorica,LYPG,MW80264,22,Joint Military/Civilian
42.3475,26.574444,118,Tenevo,LB,BU00015,8,Military
42.334168,25.172222,256,Veren,LB,BU00076,999,Other
42.31089,23.244612,655,Stanke Dimitroy,LB,BU00027,999,Other
42.290611,24.713638,57,Graf Ignatevo,LB,BU00022,8,Military
42.285278,24.86861,170,Stryama,LB,BU00089,999,Other
42.263195,24.719307,189,Graf Ignatievo South,LB,BU85950,999,Other
42.187778,24.535,192,Tsalapita,LB,BU00001,999,Other
42.155438,21.697882,370,Kumanovo,LW,MK57019,999,Other
42.114143,24.992943,184,Cheshnegirovo,LB,BU00029,8,Military
42.072388,25.053306,0,Konush,LB,BU00133,999,Other
42.067806,24.850834,181,Plovdiv,LBPD,BU30155,49,Civilian/Public
42.059128,21.390976,350,Brazda,LW,MK57029,999,Other
42.034309,20.414578,341,Kukes,LAKU,AL00007,999,Other
41.976334,25.59111,48,Uzundzhovo,LB,BU00010,8,Military
41.961639,21.621389,238,Skopje,LWSK,MK57017,22,Joint Military/Civilian
41.912388,21.95536,377,Mavrovica,LW,MK57030,999,Other
41.911835,26.234112,304,Lefka,LB,BU85952,999,Other
41.895222,19.598679,7,Gjader,LAGJ,AL00003,8,Military
41.873173,25.603683,182,Malevo,LB,BU00046,999,Other
41.827778,21.986944,242,Sveti Nikole,LW,MK57024,999,Other
41.798611,22.110556,274,Stip,LW,MK57026,999,Other
41.759308,21.842722,338,Titov Veles,LW,MK57023,999,Other
41.538891,15.713333,56,Amendola,LIBA,IT20768,8,Military
41.517166,22.087139,152,Negotino,LW,MK57025,999,Other
41.448334,23.216944,113,Petrich,LB,BU85960,999,Other
41.432919,15.535029,81,Gino Lisa,LIBF,IT65629,49,Civilian/Public
41.429279,21.402472,600,Dolneni,LW,MK57022,999,Other
41.414696,19.720527,38,Tirana Rinas,LATI,AL00001,22,Joint Military/Civilian
41.333057,21.449167,619,Prilep,LW,MK57018,999,Other
41.332779,19.789722,89,Tirana Lapraka,LA,AL00004,8,Military
41.179954,20.742325,705,Ohrid,LWOH,MK34456,49,Civilian/Public
41.150722,21.407889,579,Srpci,LW,MK57021,999,Other
41.1385,16.76075,53,Palese Macchie,LIBD,IT86954,49,Civilian/Public
41.138248,27.919083,173,Corlu,LTBU,TU75324,22,Joint Military/Civilian
41.0975,25.319166,24,Komotini,LG,GR87513,999,Other
41.023544,21.425583,579,Logovardi,LW,MK57027,999,Other
40.993057,29.216667,121,Samandira,LTBX,TU54533,8,Military
40.976891,28.821112,48,Ataturk,LTBA,TU21194,49,Civilian/Public
40.972221,24.341667,61,Amigdhaleon,LGKM,GR76782,8,Military
40.913307,24.619223,5,Megas Alexandros,LGKV,GR83147,999,Other
40.855221,25.956667,7,Dimokritos,LGAL,GR15020,49,Civilian/Public
40.771889,19.90189,41,Kucova,LAKV,AL00002,8,Military
40.767834,16.933333,361,Gioia Del Colle,LIBV,IT68451,8,Military
40.684444,29.375557,1,Yalova,LTBP,TU43729,999,Other
40.657635,17.947033,14,Casale,LIBR,IT91518,8,Military
40.651138,22.48875,8,Alexandria,LGAX,GR13575,8,Military
40.645657,20.741486,202,Korce Northwest Afld,LAKO,AL00010,999,Other
40.52,22.968332,6,Makedonia,LGTS,GR88496,22,Joint Military/Civilian
40.516109,17.402222,65,Grottaglie,LIBG,IT65779,22,Joint Military/Civilian
40.476776,19.473194,0,Vlora,LAVL,AL00005,999,Other
40.449638,21.276138,665,Aristotelis,LGKA,GR83533,49,Civilian/Public
40.31797,27.977693,50,Bandirma,LTBG,TU32857,22,Joint Military/Civilian
40.28611,21.840834,633,Filippos,LGKZ,GR87661,22,Joint Military/Civilian
40.254723,29.563057,231,Yenisehir,LTBR,TU09900,8,Military
40.237499,18.134443,48,Lecce,LIBN,IT89418,8,Military
40.231667,29.009167,100,Bursa,LTBE,TU88186,22,Joint Military/Civilian
40.137722,26.426779,7,Canakkale,LTBH,TU26739,999,Other
40.087334,20.153055,202,Gjirokaster,LA,AL00011,999,Other
39.919998,25.241667,4,Limnos,LGLM,GR68515,49,Civilian/Public
39.696388,20.8225,476,Ioannina,LGIO,GR47635,49,Civilian/Public
39.650253,22.4655,73,Larisa,LGLR,GR69025,8,Military
39.619057,27.924749,100,Balikesir,LTBF,TU11148,8,Military
39.601944,19.911667,1,Ioannis Kapodistrias,LGKR,GR06352,49,Civilian/Public
39.560444,27.024166,15,Edremit Korfez,LTFD,TU00004,999,Other
39.48,22.767222,44,Stefanovikion,LGSV,GR53459,8,Military
39.219612,22.794332,24,Nea Anchialos,LGBL,GR60573,8,Military
39.18,23.504999,15,Skiathos,LGSK,GR58939,999,Other
39.084751,26.195667,198,Polikhnitos,LG,GR91185,999,Other
39.056667,26.598333,17,Mitilini,LGMT,GR77934,999,Other
38.997223,17.08,159,Crotone,LIBC,IT79305,49,Civilian/Public
38.967556,24.487223,14,Skyros,LGSY,GR48240,8,Military
38.924999,20.765833,3,Aktio,LGPZ,GR06023,8,Military
38.905277,16.242222,12,Lamezia Terme,LICA,IT53112,49,Civilian/Public
38.874558,22.434973,18,Lamia,LG,GR30914,999,Other
38.808887,27.83386,74,Akhisar,LTBT,TU24098,8,Military
38.681202,29.471521,883,Usak,LTBO,TU00006,999,Other
38.611942,21.393612,46,Dhokimion,LG,GR70306,999,Other
38.602028,21.351221,29,Agrinion,LGAG,GR02565,8,Military
38.515499,26.977333,4,Kaklic,LTFA,TU64683,8,Military
38.511665,27.013611,5,Cigli,LTBL,TU43803,8,Military
38.345001,26.139999,5,Chios,LGHI,GR21249,999,Other
38.339848,23.564958,147,Tanagra,LGTG,GR42061,8,Military
38.319138,27.159416,131,Gaziemir,LTBK,TU11724,8,Military
38.291668,27.156389,125,Adnan Menderes,LTBJ,TU97254,49,Civilian/Public
38.237221,25.942222,152,Olimboi,LG,GR79774,999,Other
38.151142,21.425781,14,Araxos,LGRX,GR57089,22,Joint Military/Civilian
38.146667,24.013332,4,Marathon,LGMR,GR95130,999,Other
38.119972,20.500584,18,Kefallinia,LGKF,GR53808,49,Civilian/Public
38.108891,23.785,239,Tatoi,LGTT,GR45332,8,Military
38.07111,23.558056,43,Elefsis,LGEL,GR37164,8,Military
38.069721,15.650556,28,Reggio Calabria,LICR,IT51966,49,Civilian/Public
37.981113,23.365421,6,Megara,LGMG,GR33328,999,Other
37.950748,27.329027,3,Efes,LTFB,TU11835,999,Other
37.919998,21.29611,16,Andravida,LGAD,GR58161,22,Joint Military/Civilian
37.886665,23.729999,20,Athinai,LGAT,GR24865,49,Civilian/Public
37.816082,27.88636,31,Cildir,LTBD,TU38752,999,Other
37.785,29.701111,851,Cardak,LTAY,TU20400,999,Other
37.75,20.882221,4,Zakinthos Dionysios Solomos,LGZA,GR69316,49,Civilian/Public
37.689999,26.911667,6,Samos,LGSM,GR93711,49,Civilian/Public
37.683334,26.347471,24,Ikaria,LGIK,GR95159,49,Civilian/Public
37.530834,22.405001,644,Tripolis,LGTP,GR53392,8,Military
37.466946,15.066111,12,Catania Fontanarossa,LICC,IT74608,49,Civilian/Public
37.435127,25.348103,123,Mikonos,LGMK,GR29260,999,Other
37.250557,27.664444,6,Milas Bodrum,LTFE,TU00002,49,Civilian/Public
37.183334,26.801666,10,Leros,LGLE,GR26739,49,Civilian/Public
37.06839,22.025638,8,Kalamata,LGKL,GR40564,8,Military
36.974083,22.524999,152,Sparti,LGSP,GR19690,999,Other
36.793335,27.091667,124,Kos,LGKO,GR21706,49,Civilian/Public
36.713055,28.792499,6,Dalaman,LTBS,TU56649,49,Civilian/Public
36.580555,26.375,46,Astypalaia,LGPL,GR29196,49,Civilian/Public
36.405418,28.086191,5,Diagoras,LGRP,GR33352,49,Civilian/Public
36.400391,25.478722,39,Santorini,LGSR,GR36703,49,Civilian/Public
36.383331,28.1175,62,Maritsa,LGRD,GR12317,49,Civilian/Public
36.27425,23.016972,317,Kithira,LGKC,GR95042,49,Civilian/Public
35.531746,24.149677,149,Souda,LGSA,GR76709,8,Military
35.419331,27.145159,20,Karpathos,LGKP,GR92345,49,Civilian/Public
35.340694,25.180721,35,Nikos Kazantzakis,LGIR,GR91005,22,Joint Military/Civilian
35.187195,25.326805,359,Kasteli,LGTL,GR63741,8,Military
35.063694,24.767418,2,Tympaki,LG,GR38766,8,Military
32.788612,21.964443,657,Al Abraq,HLLQ,LY47077,22,Joint Military/Civilian
32.542278,22.745361,376,Martubah,HL,LY17467,8,Military
32.525276,20.875055,289,Al Marj,HL,LY36151,999,Other
32.452889,23.11861,10,Al Bumbah North,HL,LY59555,8,Military
32.32478,15.060667,18,Misurata,HL,LY78298,8,Military
32.096779,20.269472,131,Benina,HLLB,LY75726,22,Joint Military/Civilian
