FEATURE2,NAME,POP_2010,LATITUDE,LONGITUDE
-999,Comertown,-999,48.8969706,-104.248832
County Seat,Plentywood,1734,48.7747501,-104.5624575
-999,Butte-Silver Bow,33525,45.9019367,-112.6570803
-999,Walkerville,675,46.0340933,-112.5358563
-999,Divide,-999,45.7510371,-112.747251
-999,Janney,-999,45.9093709,-112.4952965
-999,Maiden Rock,-999,45.6965929,-112.7366942
-999,Melrose,-999,45.6318707,-112.6844683
-999,Ramsay,-999,46.0057589,-112.686141
County Seat,Butte,-999,46.0038153,-112.5347447
-999,Absarokee,1150,45.5204982,-109.4429444
-999,Park City,983,45.6327243,-108.9179269
-999,Reed Point,193,45.7093835,-109.5421187
-999,Fishtail,-999,45.4535539,-109.5043343
-999,Molt,-999,45.8613366,-108.9279306
-999,Rapelje,-999,45.9718896,-109.2551678
-999,Dean,-999,45.4046647,-109.6904504
-999,Limestone,-999,45.4777172,-109.902402
-999,Nye,-999,45.4354969,-109.8090654
County Seat,Columbus,1893,45.6366076,-109.2521057
-999,Greycliff,112,45.7632707,-109.7846289
-999,Melville,-999,46.1030055,-109.953797
-999,McLeod,-999,45.6627139,-110.1160228
County Seat,Big Timber,1641,45.8349395,-109.9554647
-999,Power,179,47.7157905,-111.6869282
-999,Dutton,316,47.8427369,-111.7116574
-999,Fairfield,708,47.6146733,-111.9802785
-999,Bynum,31,47.9791212,-112.3116955
-999,Pendroy,-999,48.0735718,-112.2989206
-999,Agawam,-999,47.9999571,-112.1675232
-999,Farmington,-999,47.8868992,-112.1689091
-999,Collins,-999,47.928293,-111.8102792
County Seat,Choteau,1684,47.8124531,-112.1836301
-999,Kevin,154,48.7452692,-111.9653168
-999,Sunburst,375,48.8827754,-111.9114244
-999,Sweet Grass,58,48.9961096,-111.960596
-999,Devon,-999,48.4666522,-111.4786102
-999,Dunkirk,-999,48.4780412,-111.6641775
-999,Ethridge,-999,48.5577618,-112.1205934
-999,Galata,-999,48.4755415,-111.3522141
-999,Oilmont,-999,48.7399963,-111.8408662
County Seat,Shelby,3376,48.5052631,-111.8569667
-999,Myers,-999,46.2508202,-107.3403443
-999,Sanders,-999,46.2913778,-107.0967227
-999,Bighorn,-999,46.1616535,-107.4486813
County Seat,Hysham,312,46.2927655,-107.2342299
-999,Frazer,362,48.0591845,-106.0422404
-999,Saint Marie,264,48.4022458,-106.5328157
-999,Fort Peck,233,48.0088889,-106.4486111
-999,Nashua,290,48.1322422,-106.3564204
-999,Opheim,85,48.8566918,-106.4072535
-999,Hinsdale,217,48.3941754,-107.0847928
-999,Lustre,-999,48.40751865,-105.9257863
-999,Larslan,-999,48.5783589,-106.1939107
-999,Beaverton,-999,48.4236142,-107.25397
-999,Glentana,-999,48.848081,-106.2494699
-999,Oswego,-999,48.0586288,-105.8811226
-999,Park Grove,-999,48.0302959,-106.4453151
-999,Richland,-999,48.8208593,-106.0511296
-999,Tampico,-999,48.3047384,-106.8270002
-999,Vandalia,-999,48.3547363,-106.9097823
-999,Wheeler,-999,48.0094623,-106.5061522
County Seat,Glasgow,3250,48.1969637,-106.6367127
-999,Judith Gap,126,46.6771785,-109.7518501
-999,Shawmut,42,46.342458,-109.5249016
-999,Hedgesville,-999,46.4566262,-109.5026794
-999,Twodot,-999,46.4243971,-110.072964
County Seat,Harlowton,997,46.4355121,-109.8343499
-999,Carlyle,-999,46.6550109,-104.0760428
County Seat,Wibaux,589,46.9850135,-104.1882691
-999,Ballantine,320,45.9488511,-108.1451196
-999,Huntley,446,45.899401,-108.3015173
-999,Lockwood,6797,45.8191203,-108.414855
-999,Custer,159,46.1291529,-107.5550754
-999,Shepherd,516,45.943568,-108.3423516
-999,Worden,577,45.959962,-108.1609536
-999,Laurel,6718,45.6691159,-108.7715328
-999,Broadview,192,46.0977314,-108.8770972
-999,Pompeys Pillar,-999,45.9913611,-107.9520501
-999,Acton,-999,45.9305083,-108.6806978
-999,Comanche,-999,45.9977304,-108.7734797
County Seat,Billings,104170,45.7832856,-108.5006904
-999,Glen Raven,2750,36.1131912,-79.4764112
-999,Altamahaw,347,36.1843016,-79.5072461
-999,Saxapahaw,1648,35.9473614,-79.321962
-999,Woodlawn,900,36.1101378,-79.2952961
-999,Burlington,49963,36.0956918,-79.4377991
-999,Mebane,11393,36.0959715,-79.2669619
-999,Haw River,2298,36.091526,-79.3641862
-999,Elon,9419,36.1029132,-79.5066895
-999,Green Level,2100,36.1209704,-79.3441861
-999,Swepsonville,1154,36.0212488,-79.3614076
-999,Ossipee,543,36.1720794,-79.5105794
-999,Alamance,951,36.0351361,-79.4858549
-999,Bellemont,-999,36.0256923,-79.4430761
County Seat,Graham,14153,36.0690258,-79.4005756
-999,Bethlehem,4214,35.8256875,-81.3070307
-999,Stony Point,1317,35.8634665,-81.0473008
-999,Hiddenite,536,35.9037438,-81.0906356
County Seat,Taylorsville,2098,35.9217987,-81.1764719
-999,Roaring Gap,-999,36.4029099,-80.9853554
County Seat,Sparta,1770,36.5054071,-81.1209189
-999,Ansonville,631,35.1045943,-80.1092259
-999,Lilesville,536,34.9676535,-79.9845032
-999,McFarlan,117,34.8123776,-79.9758956
-999,Morven,511,34.8640437,-80.0011724
-999,Peachland,437,34.993766,-80.2645069
